"quartier","ignore","mask","directory",,,"gcp_file","numeros","numeros_output","id","source","url","annotation_output","gcp_output"
1,1,1,1,"FRAN_0265_00007","FRAN_0265_00007_L.png","cadastre_general_paris/1/FRAN_0265_00007_L.png.points","cadastre_general_paris_numeros/1/NUMEROS_QUARTIER_1_CORRIGES.zip","cadastre_general_paris_resultat/1/NUMEROS_QUARTIER_1_CORRIGES_GEOREF.gpkg","FRAN_0265_00007","FRAN_0265/FRAN_0265_00007_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00007_L.png","output/Atlas_general_de_Paris/FRAN_0265_00007.json",
2,1,2,2,"FRAN_0265_00008","FRAN_0265_00008_L.png","cadastre_general_paris/2/FRAN_0265_00008_L.png.points","cadastre_general_paris_numeros/2/NUMEROS_QUARTIER_2_CORRIGES.zip","cadastre_general_paris_resultat/2/NUMEROS_QUARTIER_2_CORRIGES_GEOREF.gpkg","FRAN_0265_00008","FRAN_0265/FRAN_0265_00008_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00008_L.png","output/Atlas_general_de_Paris/FRAN_0265_00008.json",
3,1,3,3,"FRAN_0265_00009","FRAN_0265_00009_L.png","cadastre_general_paris/3/FRAN_0265_00009_L.png.points","cadastre_general_paris_numeros/3/NUMEROS_QUARTIER_3_CORRIGES.zip","cadastre_general_paris_resultat/3/NUMEROS_QUARTIER_3_CORRIGES_GEOREF.gpkg","FRAN_0265_00009","FRAN_0265/FRAN_0265_00009_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00009_L.png","output/Atlas_general_de_Paris/FRAN_0265_00009.json",
4,1,4,4,"FRAN_0265_00010","FRAN_0265_00010_L.png","cadastre_general_paris/4/FRAN_0265_00010_L.png.points","cadastre_general_paris_numeros/4/NUMEROS_QUARTIER_4_CORRIGES.zip","cadastre_general_paris_resultat/4/NUMEROS_QUARTIER_4_CORRIGES_GEOREF.gpkg","FRAN_0265_00010","FRAN_0265/FRAN_0265_00010_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00010_L.png","output/Atlas_general_de_Paris/FRAN_0265_00010.json",
5,1,5,5,"FRAN_0265_00013","FRAN_0265_00013_L.png","cadastre_general_paris/5/FRAN_0265_00013_L.png.points","cadastre_general_paris_numeros/5/NUMEROS_QUARTIER_5_CORRIGES.zip","cadastre_general_paris_resultat/5/NUMEROS_QUARTIER_5_CORRIGES_GEOREF.gpkg","FRAN_0265_00013","FRAN_0265/FRAN_0265_00013_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00013_L.png","output/Atlas_general_de_Paris/FRAN_0265_00013.json",
6,1,6,6,"FRAN_0265_00014","FRAN_0265_00014_L.png","cadastre_general_paris/6/FRAN_0265_00014_L.png.points","cadastre_general_paris_numeros/6/NUMEROS_QUARTIER_6_CORRIGES.zip","cadastre_general_paris_resultat/6/NUMEROS_QUARTIER_6_CORRIGES_GEOREF.gpkg","FRAN_0265_00014","FRAN_0265/FRAN_0265_00014_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00014_L.png","output/Atlas_general_de_Paris/FRAN_0265_00014.json",
7,1,7,7,"FRAN_0265_00015","FRAN_0265_00015_L.png","cadastre_general_paris/7/FRAN_0265_00015_L.png.points","cadastre_general_paris_numeros/7/NUMEROS_QUARTIER_7_CORRIGES.zip","cadastre_general_paris_resultat/7/NUMEROS_QUARTIER_7_CORRIGES_GEOREF.gpkg","FRAN_0265_00015","FRAN_0265/FRAN_0265_00015_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00015_L.png","output/Atlas_general_de_Paris/FRAN_0265_00015.json",
8,1,8,8,"FRAN_0265_00016","FRAN_0265_00016_L.png","cadastre_general_paris/8/FRAN_0265_00016_L.png.points","cadastre_general_paris_numeros/8/NUMEROS_QUARTIER_8_CORRIGES.zip","cadastre_general_paris_resultat/8/NUMEROS_QUARTIER_8_CORRIGES_GEOREF.gpkg","FRAN_0265_00016","FRAN_0265/FRAN_0265_00016_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00016_L.png","output/Atlas_general_de_Paris/FRAN_0265_00016.json",
9,1,9,"9-a finir_pc","FRAN_0265_00018","FRAN_0265_00018_L.png","cadastre_general_paris/9/FRAN_0265_00018_L.png.points","cadastre_general_paris_numeros/9-a finir_pc/NUMEROS_QUARTIER_9_CORRIGES.zip","cadastre_general_paris_resultat/9/NUMEROS_QUARTIER_9_CORRIGES_GEOREF.gpkg","FRAN_0265_00018","FRAN_0265/FRAN_0265_00018_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00018_L.png","output/Atlas_general_de_Paris/FRAN_0265_00018.json",
10,1,10,10,"FRAN_0265_00019","FRAN_0265_00019_L.png","cadastre_general_paris/10/FRAN_0265_00019_L.png.points","cadastre_general_paris_numeros/10/NUMEROS_QUARTIER_10_CORRIGES.zip","cadastre_general_paris_resultat/10/NUMEROS_QUARTIER_10_CORRIGES_GEOREF.gpkg","FRAN_0265_00019","FRAN_0265/FRAN_0265_00019_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00019_L.png","output/Atlas_general_de_Paris/FRAN_0265_00019.json",
